,mean,variance,std
$\beta$ [mm/kN],0.00760134665675304,1.7658980395471166e-07,0.00042022589633994675
$\sigma_{\eta}$ [mm],0.013130637856465325,3.492197735936479e-06,0.0018687422871911683
"$\lambda_{\eta,P}$ [kN]",13.96022927360483,4.929686186409629,2.2202896627263815
"$\lambda_{\eta,\alpha}$ [rad]",1.8194062772344732,0.030092800399619028,0.1734727655847425
"$\lambda_{\eta,E_1}$ [MPa]",64771.13529614997,106062106.12292857,10298.645839280452
"$\lambda_{\eta,E_2}$ [MPa]",20177.021051536845,53751661.56969338,7331.552466544407
"$\lambda_{\eta,v_{12}}$ [-]",1.1401653964684928,0.20808680388691914,0.4561653251694161
"$\lambda_{\eta,v_{23}}$ [-]",1.3157741832542935,0.26286590784035246,0.5127045034328765
"$\lambda_{\eta,G_{12}}$ [GPa]",9630.896433189377,11420441.864779929,3379.4144263141106
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],2.3575752208958997e-05,3.273994575361221e-10,1.8094182975092356e-05
