,mean,variance,std
$\beta$ [mm/kN],0.0075308508818862675,1.6624430394729558e-07,0.000407730675749686
$\sigma_{\eta}$ [mm],0.012341703462510342,3.1951796260711664e-06,0.001787506538749206
"$\lambda_{\eta,P}$ [kN]",14.465017722330822,4.768397521006153,2.183666073603323
"$\lambda_{\eta,\alpha}$ [rad]",1.772014918470259,0.0283302358811375,0.16831588125051508
"$\lambda_{\eta,E_1}$ [MPa]",66447.47267599711,100166526.84294283,10008.322878631705
"$\lambda_{\eta,E_2}$ [MPa]",19305.078308041684,46366110.81509752,6809.26654017138
"$\lambda_{\eta,v_{12}}$ [-]",1.1240429114398691,0.2013254677689265,0.4486930663258866
"$\lambda_{\eta,v_{23}}$ [-]",1.3090127400875073,0.2595614229643251,0.5094717096800617
"$\lambda_{\eta,G_{12}}$ [GPa]",9584.998614402257,11135149.566504668,3336.9371535143823
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],3.0182332030257902e-05,5.221030834666746e-10,2.2849575126611755e-05
