,mean,variance,std
$\beta$ [mm/kN],0.007509356065099376,1.6078491212938896e-07,0.00040097993980919914
$\sigma_{\eta}$ [mm],0.012830656593113193,3.4227692068191583e-06,0.0018500727571690682
"$\lambda_{\eta,P}$ [kN]",13.955623717278696,5.082460957003668,2.254431404368664
"$\lambda_{\eta,\alpha}$ [rad]",1.9416416868184694,0.030749808874464307,0.17535623420473054
"$\lambda_{\eta,E_1}$ [MPa]",70619.45421944991,139106904.0934688,11794.358994598595
"$\lambda_{\eta,E_2}$ [MPa]",19608.5164303691,49107796.24065072,7007.695501422042
"$\lambda_{\eta,v_{12}}$ [-]",1.180430847425993,0.19933614533611094,0.44647076649665535
"$\lambda_{\eta,v_{23}}$ [-]",1.3363910646927695,0.26766288223836454,0.5173614618797621
"$\lambda_{\eta,G_{12}}$ [GPa]",9141.832419034034,10252769.602315167,3201.9946287142907
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],3.3535566046448175e-05,6.430761833839738e-10,2.5358946811411032e-05
