,mean,variance,std
$\beta$ [mm/kN],0.007430665059020029,1.6020888957966657e-07,0.0004002610268058415
$\sigma_{\eta}$ [mm],0.012296290065670817,3.2735977399006936e-06,0.001809308635888497
"$\lambda_{\eta,P}$ [kN]",14.41201500580524,4.806007747937515,2.19226087588533
"$\lambda_{\eta,\alpha}$ [rad]",1.8548356618402162,0.027332751650965402,0.1653261977152
"$\lambda_{\eta,E_1}$ [MPa]",74063.58404232656,135037923.02424398,11620.581871156193
"$\lambda_{\eta,E_2}$ [MPa]",19131.00277927189,46312591.30290806,6805.335502597066
"$\lambda_{\eta,v_{12}}$ [-]",1.1467823577970087,0.2018369125011493,0.4492626319884053
"$\lambda_{\eta,v_{23}}$ [-]",1.3132125606823333,0.2724286521287618,0.5219469821052343
"$\lambda_{\eta,G_{12}}$ [GPa]",9196.876753704772,10482319.436264167,3237.6410295559585
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],6.822605043073792e-05,2.1497108426648716e-09,4.6364974308899075e-05
