,mean,variance,std
$\beta$ [mm/kN],0.007517626463109859,1.6389674348488263e-07,0.00040484162765812835
$\sigma_{\eta}$ [mm],0.012607670980996839,3.315821696391745e-06,0.0018209397838456233
"$\lambda_{\eta,P}$ [kN]",13.824823983972689,5.052273451993644,2.247726284936323
"$\lambda_{\eta,\alpha}$ [rad]",1.8262197746979407,0.028126216405139272,0.16770872489271174
"$\lambda_{\eta,E_1}$ [MPa]",68095.41078266207,127697744.6536065,11300.342678591942
"$\lambda_{\eta,E_2}$ [MPa]",19648.144803633117,48361172.635492526,6954.21977187179
"$\lambda_{\eta,v_{12}}$ [-]",1.172446509818253,0.20843402430119656,0.45654575269210046
"$\lambda_{\eta,v_{23}}$ [-]",1.3068043210936549,0.25500932370014606,0.5049844786725094
"$\lambda_{\eta,G_{12}}$ [GPa]",9290.091463585715,10584306.374486653,3253.3530971117557
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],4.955977028788725e-05,1.2656374019295787e-09,3.5575797980222154e-05
