,mean,variance,std
$\beta$ [mm/kN],0.007428049349535507,1.6420084686160713e-07,0.00040521703673661986
$\sigma_{\eta}$ [mm],0.01199737599862963,2.900829075192406e-06,0.0017031820440553047
"$\lambda_{\eta,P}$ [kN]",14.316092437158996,4.578721999750902,2.1397948499215764
"$\lambda_{\eta,\alpha}$ [rad]",1.794562609441214,0.02650584728413874,0.16280616476085524
"$\lambda_{\eta,E_1}$ [MPa]",70679.46148667292,118001685.37005231,10862.858066367815
"$\lambda_{\eta,E_2}$ [MPa]",19117.137141632105,45270294.7888254,6728.3203542061965
"$\lambda_{\eta,v_{12}}$ [-]",1.1402630593204999,0.20457048469379854,0.4522946878903162
"$\lambda_{\eta,v_{23}}$ [-]",1.274551961931129,0.23297091390917707,0.4826706060132283
"$\lambda_{\eta,G_{12}}$ [GPa]",9271.040881897577,10624138.863112483,3259.469107556088
$\sigma_{\epsilon}$ [mm/$\sqrt{\mathrm{kN}}$],0.00011822156465213727,3.903579135073571e-09,6.247862942697744e-05
